Name,Artist,Album,Track Number
Blue Schwinn,Yppah,Eighty One,1
D. Song,Yppah,Eighty One,2
R. Mullen,Yppah,Eighty One,3
Film Burn,Yppah,Eighty One,4
Never Mess With Sunday,Yppah,Eighty One,5
Happy to See You,Yppah,Eighty One,6
Soon Enough,Yppah,Eighty One,7
Paper Knife,Yppah,Eighty One,8
Golden Braid,Yppah,Eighty One,9
Three Portraits,Yppah,Eighty One,10
Some Have Said,Yppah,Eighty One,11
Amateur Cartography,"Stafford Bawler, OBFUSC & Grigori",Monument Valley (Original Soundtrack),1
The Garden,"Stafford Bawler, OBFUSC & Grigori",Monument Valley (Original Soundtrack),2
Hidden Temple,"Stafford Bawler, OBFUSC & Grigori",Monument Valley (Original Soundtrack),3
The Ghost,"Stafford Bawler, OBFUSC & Grigori",Monument Valley (Original Soundtrack),4
Water Palace,"Stafford Bawler, OBFUSC & Grigori",Monument Valley (Original Soundtrack),5
The Spire,"Stafford Bawler, OBFUSC & Grigori",Monument Valley (Original Soundtrack),6
The Labyrinth,"Stafford Bawler, OBFUSC & Grigori",Monument Valley (Original Soundtrack),7
The Rookery,"Stafford Bawler, OBFUSC & Grigori",Monument Valley (Original Soundtrack),8
The Box,"Stafford Bawler, OBFUSC & Grigori",Monument Valley (Original Soundtrack),9
The Descent,"Stafford Bawler, OBFUSC & Grigori",Monument Valley (Original Soundtrack),10
Observatory,"Stafford Bawler, OBFUSC & Grigori",Monument Valley (Original Soundtrack),11
At Journey's End,"Stafford Bawler, OBFUSC & Grigori",Monument Valley (Original Soundtrack),12
Sounds from Shattered Seashells,"Stafford Bawler, OBFUSC & Grigori",Monument Valley (Original Soundtrack),13
Inverted Island,"Stafford Bawler, OBFUSC & Grigori",Monument Valley (Original Soundtrack),14
Oceanic Glow,"Stafford Bawler, OBFUSC & Grigori",Monument Valley (Original Soundtrack),15
Ida's Theme,"Stafford Bawler, OBFUSC & Grigori",Monument Valley (Original Soundtrack),16
Rent I Pay,Spoon,They Want My Soul,1
Inside Out,Spoon,They Want My Soul,2
Rainy Taxi,Spoon,They Want My Soul,3
Do You,Spoon,They Want My Soul,4
Knock Knock Knock,Spoon,They Want My Soul,5
Outlier,Spoon,They Want My Soul,6
They Want My Soul,Spoon,They Want My Soul,7
I Just Don't Understand,Spoon,They Want My Soul,8
Let Me Be Mine,Spoon,They Want My Soul,9
New York Kiss,Spoon,They Want My Soul,10
Bonobo Late Night Tales Continuous Mix,Bonobo,Late Night Tales - Bonobo,1
"An Ending, A Beginning",Bonobo,Late Night Tales - Bonobo,2
A Calf Born In Winter,Bonobo,Late Night Tales - Bonobo,3
Get Thy Bearings (feat. Szjerdene),Bonobo,Late Night Tales - Bonobo,4
Didn't I,Bonobo,Late Night Tales - Bonobo,5
Baltimore,Bonobo,Late Night Tales - Bonobo,6
Flipside,Bonobo,Late Night Tales - Bonobo,7
The Traitor,Bonobo,Late Night Tales - Bonobo,8
Flowers,Bonobo,Late Night Tales - Bonobo,9
Down The Line (It Takes A Number),Bonobo,Late Night Tales - Bonobo,10
Places,Bonobo,Late Night Tales - Bonobo,11
Gutter Glitter,Bonobo,Late Night Tales - Bonobo,12
Wings (Floating Points Remix),Bonobo,Late Night Tales - Bonobo,13
Hedron,Bonobo,Late Night Tales - Bonobo,14
VIII. Juliet,Bonobo,Late Night Tales - Bonobo,15
South Congress,Bonobo,Late Night Tales - Bonobo,16
Sailing Out To Sea,Bonobo,Late Night Tales - Bonobo,17
Essence Of Sapphire,Bonobo,Late Night Tales - Bonobo,18
One Thing,Bonobo,Late Night Tales - Bonobo,19
Gigantic,Bonobo,Late Night Tales - Bonobo,20
Peace Piece,Bonobo,Late Night Tales - Bonobo,21
Flat Of Angles Part 3,Bonobo,Late Night Tales - Bonobo,22
First Fires,Bonobo,The North Borders,1
Emkay,Bonobo,The North Borders,2
Cirrus,Bonobo,The North Borders,3
Heaven For The Sinner,Bonobo,The North Borders,4
Sapphire,Bonobo,The North Borders,5
Jets,Bonobo,The North Borders,6
Towers,Bonobo,The North Borders,7
Don't Wait,Bonobo,The North Borders,8
Know You,Bonobo,The North Borders,9
Antenna,Bonobo,The North Borders,10
Ten Tigers,Bonobo,The North Borders,11
Transits,Bonobo,The North Borders,12
Pieces,Bonobo,The North Borders,13
Gold Lion,Yeah Yeah Yeahs,Show Your Bones,1
Way Out,Yeah Yeah Yeahs,Show Your Bones,2
Fancy,Yeah Yeah Yeahs,Show Your Bones,3
Phenomena,Yeah Yeah Yeahs,Show Your Bones,4
Honeybear,Yeah Yeah Yeahs,Show Your Bones,5
Cheated Hearts,Yeah Yeah Yeahs,Show Your Bones,6
Dudley,Yeah Yeah Yeahs,Show Your Bones,7
Mysteries,Yeah Yeah Yeahs,Show Your Bones,8
Sweets,Yeah Yeah Yeahs,Show Your Bones,9
Warrior,Yeah Yeah Yeahs,Show Your Bones,10
Turn Into,Yeah Yeah Yeahs,Show Your Bones,11
Son et Lumiere,The Mars Volta,De-loused in the Comatorium,1
Inertiatic Esp,The Mars Volta,De-loused in the Comatorium,2
Roulette Dares (The Haunt Of),The Mars Volta,De-loused in the Comatorium,3
Tira Me a Las Aranas,The Mars Volta,De-loused in the Comatorium,4
Drunkship Of Lanterns,The Mars Volta,De-loused in the Comatorium,5
Eriatarka,The Mars Volta,De-loused in the Comatorium,6
Cicatriz Esp,The Mars Volta,De-loused in the Comatorium,7
This Apparatus Must Be Unearthed,The Mars Volta,De-loused in the Comatorium,8
Televators,The Mars Volta,De-loused in the Comatorium,9
Take The Veil Cerpin Taxt,The Mars Volta,De-loused in the Comatorium,10
Daft Punk Is Playing At My House,LCD Soundsystem,LCD Soundsystem,1
Too Much Love,LCD Soundsystem,LCD Soundsystem,2
Tribulations,LCD Soundsystem,LCD Soundsystem,3
Movement,LCD Soundsystem,LCD Soundsystem,4
Never As Tired As When I'm Waking Up,LCD Soundsystem,LCD Soundsystem,5
On Repeat,LCD Soundsystem,LCD Soundsystem,6
Thrills,LCD Soundsystem,LCD Soundsystem,7
Disco Infiltrator,LCD Soundsystem,LCD Soundsystem,8
Great Release,LCD Soundsystem,LCD Soundsystem,9
Losing My Edge,LCD Soundsystem,LCD Soundsystem,10
Beat Connection,LCD Soundsystem,LCD Soundsystem,11
Give It Up,LCD Soundsystem,LCD Soundsystem,12
Tired,LCD Soundsystem,LCD Soundsystem,13
Yeah (Crass Version),LCD Soundsystem,LCD Soundsystem,14
Yeah (Pretentious Mix),LCD Soundsystem,LCD Soundsystem,15
Yr City's A Sucker,LCD Soundsystem,LCD Soundsystem,16
Dance Yrself Clean,LCD Soundsystem,This Is Happening,1
Drunk Girls,LCD Soundsystem,This Is Happening,2
One Touch,LCD Soundsystem,This Is Happening,3
All I Want,LCD Soundsystem,This Is Happening,4
I Can Change,LCD Soundsystem,This Is Happening,5
You Wanted A Hit,LCD Soundsystem,This Is Happening,6
Pow Pow,LCD Soundsystem,This Is Happening,7
Somebody's Calling Me,LCD Soundsystem,This Is Happening,8
Home,LCD Soundsystem,This Is Happening,9
Get Innocuous!,LCD Soundsystem,Sound Of Silver,1
Time To Get Away,LCD Soundsystem,Sound Of Silver,2
North American Scum,LCD Soundsystem,Sound Of Silver,3
Someone Great,LCD Soundsystem,Sound Of Silver,4
All My Friends,LCD Soundsystem,Sound Of Silver,5
Us V Them,LCD Soundsystem,Sound Of Silver,6
Watch The Tapes,LCD Soundsystem,Sound Of Silver,7
Sound Of Silver,LCD Soundsystem,Sound Of Silver,8
"New York, I Love You But You're Bringing Me Down",LCD Soundsystem,Sound Of Silver,9
Dance Yrself Clean,LCD Soundsystem,This Is Happening Deluxe Edition,1
Drunk Girls,LCD Soundsystem,This Is Happening Deluxe Edition,2
One Touch,LCD Soundsystem,This Is Happening Deluxe Edition,3
All I Want,LCD Soundsystem,This Is Happening Deluxe Edition,4
I Can Change,LCD Soundsystem,This Is Happening Deluxe Edition,5
You Wanted A Hit,LCD Soundsystem,This Is Happening Deluxe Edition,6
Pow Pow,LCD Soundsystem,This Is Happening Deluxe Edition,7
Somebody's Calling Me,LCD Soundsystem,This Is Happening Deluxe Edition,8
Home,LCD Soundsystem,This Is Happening Deluxe Edition,9
Throw,LCD Soundsystem,This Is Happening Deluxe Edition,10
Oh You (Christmas Blues),LCD Soundsystem,This Is Happening Deluxe Edition,11
Us V Them (London Session),LCD Soundsystem,This Is Happening Deluxe Edition,12
All I Want (London Session),LCD Soundsystem,This Is Happening Deluxe Edition,13
Drunk Girls (London Session),LCD Soundsystem,This Is Happening Deluxe Edition,14
Get Innocuous! (London Session),LCD Soundsystem,This Is Happening Deluxe Edition,15
Daft Punk Is Playing At My House (London Session),LCD Soundsystem,This Is Happening Deluxe Edition,16
All My Friends (London Session),LCD Soundsystem,This Is Happening Deluxe Edition,17
Pow Pow (London Session),LCD Soundsystem,This Is Happening Deluxe Edition,18
I Can Change (London Session),LCD Soundsystem,This Is Happening Deluxe Edition,19
Yr City Is A Sucker (London Session),LCD Soundsystem,This Is Happening Deluxe Edition,20
Awake,Tycho,Awake,1
Montana,Tycho,Awake,2
L,Tycho,Awake,3
